timeStamp,elapsed,label,responseCode,success,bytes,grpThreads,allThreads,Latency,Hostname
2013-12-26;18:11:34,15486,/,200,true,1993,3,3,15486,CI
2013-12-26;18:11:34,15505,Accueil,200,true,1993,3,3,15486,CI
2013-12-26;18:11:37,12303,/,200,true,1993,3,3,12302,CI
2013-12-26;18:11:37,12305,Accueil,200,true,1993,3,3,12302,CI
2013-12-26;18:11:41,8977,/,200,true,1993,3,3,8977,CI
2013-12-26;18:11:41,8979,Accueil,200,true,1993,3,3,8977,CI
2013-12-26;18:11:50,2801,/app/user/login,200,true,2374,3,3,2043,CI
2013-12-26;18:11:52,661,/,200,true,1987,3,3,661,CI
2013-12-26;18:11:50,3467,Connexion,200,true,4361,3,3,2704,CI
2013-12-26;18:11:50,3559,/app/user/login,200,true,2374,3,3,2883,CI
2013-12-26;18:11:50,3825,/app/user/login,200,true,2332,3,3,3220,CI
2013-12-26;18:11:53,912,/account,200,true,2602,3,3,912,CI
2013-12-26;18:11:53,919,Vue_connectee,200,true,2602,3,3,912,CI
2013-12-26;18:11:53,792,/,200,true,1987,3,3,792,CI
2013-12-26;18:11:50,4355,Connexion,200,true,4361,3,3,3675,CI
2013-12-26;18:11:54,632,/,200,true,1945,3,3,632,CI
2013-12-26;18:11:50,4460,Connexion,200,true,4277,3,3,3852,CI
2013-12-26;18:11:54,677,/app/user/logout,200,true,2321,3,3,199,CI
2013-12-26;18:11:54,644,/account,200,true,2604,3,3,644,CI
2013-12-26;18:11:54,645,Vue_connectee,200,true,2604,3,3,644,CI
2013-12-26;18:11:54,794,/account,200,true,2557,3,3,794,CI
2013-12-26;18:11:54,796,Vue_connectee,200,true,2557,3,3,794,CI
2013-12-26;18:11:55,359,/,200,true,1934,3,3,359,CI
2013-12-26;18:11:54,1040,Deconnexion,200,true,4255,3,3,558,CI
2013-12-26;18:11:55,600,/app/user/logout,200,true,2321,3,3,196,CI
2013-12-26;18:11:55,450,/,200,true,1992,3,3,450,CI
2013-12-26;18:11:55,451,Accueil,200,true,1992,3,3,450,CI
2013-12-26;18:11:55,572,/app/user/logout,200,true,2321,3,3,214,CI
2013-12-26;18:11:55,458,/,200,true,1934,3,3,458,CI
2013-12-26;18:11:55,1061,Deconnexion,200,true,4255,3,3,654,CI
2013-12-26;18:11:56,246,/,200,true,1934,3,3,246,CI
2013-12-26;18:11:55,821,Deconnexion,200,true,4255,3,3,460,CI
2013-12-26;18:11:56,449,/,200,true,1992,3,3,449,CI
2013-12-26;18:11:56,450,Accueil,200,true,1992,3,3,449,CI
2013-12-26;18:11:56,478,/,200,true,1992,3,3,478,CI
2013-12-26;18:11:56,479,Accueil,200,true,1992,3,3,478,CI
2013-12-26;18:11:56,2837,/app/user/login,200,true,2374,3,3,2116,CI
2013-12-26;18:11:58,683,/,200,true,1987,3,3,683,CI
2013-12-26;18:11:56,3522,Connexion,200,true,4361,3,3,2799,CI
2013-12-26;18:11:56,3150,/app/user/login,200,true,2374,3,3,2555,CI
2013-12-26;18:11:59,711,/account,200,true,2600,3,3,711,CI
2013-12-26;18:11:59,715,Vue_connectee,200,true,2600,3,3,711,CI
2013-12-26;18:11:56,3858,/app/user/login,200,true,2332,3,3,3155,CI
2013-12-26;18:11:59,793,/,200,true,1987,3,3,793,CI
2013-12-26;18:11:56,3945,Connexion,200,true,4361,3,3,3348,CI
2013-12-26;18:12:00,753,/app/user/logout,200,true,2321,3,3,209,CI
2013-12-26;18:12:00,572,/,200,true,1945,3,3,572,CI
2013-12-26;18:11:56,4432,Connexion,200,true,4277,3,3,3727,CI
2013-12-26;18:12:01,419,/,200,true,1934,3,3,419,CI
2013-12-26;18:12:00,1175,Deconnexion,200,true,4255,3,3,628,CI
2013-12-26;18:12:00,923,/account,200,true,2603,3,3,923,CI
2013-12-26;18:12:00,924,Vue_connectee,200,true,2603,3,3,923,CI
2013-12-26;18:12:01,238,/,200,true,1992,3,3,238,CI
2013-12-26;18:12:01,239,Accueil,200,true,1992,3,3,238,CI
2013-12-26;18:12:01,730,/account,200,true,2560,3,3,730,CI
2013-12-26;18:12:01,732,Vue_connectee,200,true,2560,3,3,730,CI
2013-12-26;18:12:01,634,/app/user/logout,200,true,2321,3,3,214,CI
2013-12-26;18:12:02,794,/app/user/logout,200,true,2321,3,3,224,CI
2013-12-26;18:12:02,584,/,200,true,1934,3,3,584,CI
2013-12-26;18:12:01,1220,Deconnexion,200,true,4255,3,3,798,CI
2013-12-26;18:12:02,409,/,200,true,1934,3,3,409,CI
2013-12-26;18:12:02,1205,Deconnexion,200,true,4255,3,3,633,CI
