timeStamp,elapsed,label,responseCode,threadName,success,bytes,grpThreads,allThreads,Latency,Hostname
2013-12-27;17:41:13,2,01_Timer_1,200,TG 1-50,true,338,1,1,0,ecosrvint01p
2013-12-27;17:41:13,435,01_visit-page_accueil,200,TG 1-50,true,1993,1,1,435,ecosrvint01p
2013-12-27;17:41:09,445,01_Accueil,200,TG 1-50,true,2331,1,1,435,ecosrvint01p
2013-12-27;17:41:16,0,01_Timer_1,200,TG 1-49,true,336,2,2,0,ecosrvint01p
2013-12-27;17:41:16,318,01_visit-page_accueil,200,TG 1-49,true,1992,2,2,318,ecosrvint01p
2013-12-27;17:41:14,320,01_Accueil,200,TG 1-49,true,2328,2,2,318,ecosrvint01p
2013-12-27;17:41:16,1,02_Timer_1,200,TG 1-50,true,338,2,2,0,ecosrvint01p
2013-12-27;17:41:16,2651,02_send-form_login,200,TG 1-50,true,2374,3,3,2097,ecosrvint01p
2013-12-27;17:41:19,524,02_visit-page_accueil,200,TG 1-50,true,1987,3,3,524,ecosrvint01p
2013-12-27;17:41:13,3178,02_Connexion,200,TG 1-50,true,4699,3,3,2621,ecosrvint01p
2013-12-27;17:41:21,1,02_Timer_1,200,TG 1-49,true,336,3,3,0,ecosrvint01p
2013-12-27;17:41:23,0,01_Timer_1,200,TG 1-48,true,323,3,3,0,ecosrvint01p
2013-12-27;17:41:23,321,01_visit-page_accueil,200,TG 1-48,true,1993,3,3,321,ecosrvint01p
2013-12-27;17:41:19,323,01_Accueil,200,TG 1-48,true,2316,3,3,321,ecosrvint01p
2013-12-27;17:41:21,2426,02_send-form_login,200,TG 1-49,true,2374,3,3,2013,ecosrvint01p
2013-12-27;17:41:23,507,02_visit-page_accueil,200,TG 1-49,true,1987,4,4,507,ecosrvint01p
2013-12-27;17:41:16,2936,02_Connexion,200,TG 1-49,true,4697,4,4,2520,ecosrvint01p
2013-12-27;17:41:24,1,03_Timer_1,200,TG 1-50,true,338,4,4,0,ecosrvint01p
2013-12-27;17:41:24,597,03_visit-page_ma-premiere-page,200,TG 1-50,true,2241,4,4,597,ecosrvint01p
2013-12-27;17:41:25,1,01_Timer_1,200,TG 1-47,true,338,4,4,0,ecosrvint01p
2013-12-27;17:41:25,347,01_visit-page_accueil,200,TG 1-47,true,1992,4,4,347,ecosrvint01p
2013-12-27;17:41:24,350,01_Accueil,200,TG 1-47,true,2330,4,4,347,ecosrvint01p
2013-12-27;17:41:26,1,02_Timer_1,200,TG 1-47,true,338,4,4,0,ecosrvint01p
2013-12-27;17:41:26,0,02_Timer_1,200,TG 1-48,true,323,4,4,0,ecosrvint01p
2013-12-27;17:41:27,1,03_Timer_1,200,TG 1-49,true,336,4,4,0,ecosrvint01p
2013-12-27;17:41:27,0,03_Timer_2,200,TG 1-50,true,338,4,4,0,ecosrvint01p
2013-12-27;17:41:27,928,03_visit-page_ma-premiere-page,200,TG 1-49,true,2240,4,4,928,ecosrvint01p
2013-12-27;17:41:27,1127,03_visit-page_account,200,TG 1-50,true,2604,4,4,1126,ecosrvint01p
2013-12-27;17:41:26,2540,02_send-form_login,200,TG 1-48,true,2332,5,5,2203,ecosrvint01p
2013-12-27;17:41:29,356,02_visit-page_accueil,200,TG 1-48,true,1945,5,5,356,ecosrvint01p
2013-12-27;17:41:23,2898,02_Connexion,200,TG 1-48,true,4600,5,5,2559,ecosrvint01p
2013-12-27;17:41:26,3424,02_send-form_login,200,TG 1-47,true,2374,5,5,2914,ecosrvint01p
2013-12-27;17:41:30,389,02_visit-page_accueil,200,TG 1-47,true,1987,5,5,388,ecosrvint01p
2013-12-27;17:41:25,3815,02_Connexion,200,TG 1-47,true,4699,5,5,3302,ecosrvint01p
2013-12-27;17:41:30,0,03_Timer_3,200,TG 1-50,true,338,5,5,0,ecosrvint01p
2013-12-27;17:41:30,482,03_visit-page_accueil,200,TG 1-50,true,1987,5,5,482,ecosrvint01p
2013-12-27;17:41:31,0,03_Timer_2,200,TG 1-49,true,336,5,5,0,ecosrvint01p
2013-12-27;17:41:32,0,03_Timer_1,200,TG 1-48,true,323,5,5,0,ecosrvint01p
2013-12-27;17:41:31,677,03_visit-page_account,200,TG 1-49,true,2602,5,5,676,ecosrvint01p
2013-12-27;17:41:32,514,03_visit-page_ma-premiere-page,200,TG 1-48,true,2196,5,5,514,ecosrvint01p
2013-12-27;17:41:33,1,01_Timer_1,200,TG 1-46,true,336,5,5,0,ecosrvint01p
2013-12-27;17:41:33,360,01_visit-page_accueil,200,TG 1-46,true,1992,5,5,360,ecosrvint01p
2013-12-27;17:41:29,363,01_Accueil,200,TG 1-46,true,2328,5,5,360,ecosrvint01p
2013-12-27;17:41:33,0,03_Timer_1,200,TG 1-47,true,338,5,5,0,ecosrvint01p
2013-12-27;17:41:33,400,03_visit-page_ma-premiere-page,200,TG 1-47,true,2241,6,6,400,ecosrvint01p
2013-12-27;17:41:35,0,02_Timer_1,200,TG 1-46,true,336,6,6,0,ecosrvint01p
2013-12-27;17:41:35,0,03_Timer_2,200,TG 1-48,true,323,6,6,0,ecosrvint01p
2013-12-27;17:41:35,0,03_Timer_4,200,TG 1-50,true,337,6,6,0,ecosrvint01p
2013-12-27;17:41:35,682,03_visit-page_test-payment,200,TG 1-50,true,2431,6,6,682,ecosrvint01p
2013-12-27;17:41:35,727,03_visit-page_account,200,TG 1-48,true,2557,6,6,727,ecosrvint01p
2013-12-27;17:41:36,1,03_Timer_2,200,TG 1-47,true,338,6,6,0,ecosrvint01p
2013-12-27;17:41:36,0,03_Timer_3,200,TG 1-49,true,336,6,6,0,ecosrvint01p
2013-12-27;17:41:36,726,03_visit-page_account,200,TG 1-47,true,2601,6,6,726,ecosrvint01p
2013-12-27;17:41:36,658,03_visit-page_accueil,200,TG 1-49,true,1987,6,6,658,ecosrvint01p
2013-12-27;17:41:37,1,01_Timer_1,200,TG 1-45,true,323,6,6,0,ecosrvint01p
2013-12-27;17:41:37,366,01_visit-page_accueil,200,TG 1-45,true,1992,6,6,366,ecosrvint01p
2013-12-27;17:41:34,369,01_Accueil,200,TG 1-45,true,2315,6,6,366,ecosrvint01p
2013-12-27;17:41:35,3140,02_send-form_login,200,TG 1-46,true,2374,6,6,2615,ecosrvint01p
2013-12-27;17:41:38,0,03_Timer_1,200,TG 1-50,true,338,6,6,0,ecosrvint01p
2013-12-27;17:41:38,586,02_visit-page_accueil,200,TG 1-46,true,1987,7,7,586,ecosrvint01p
2013-12-27;17:41:33,3727,02_Connexion,200,TG 1-46,true,4697,7,7,3201,ecosrvint01p
2013-12-27;17:41:38,563,03_visit-page_ma-premiere-page,200,TG 1-50,true,2241,7,7,563,ecosrvint01p
2013-12-27;17:41:39,0,03_Timer_3,200,TG 1-48,true,322,7,7,0,ecosrvint01p
2013-12-27;17:41:39,0,03_Timer_3,200,TG 1-47,true,338,7,7,0,ecosrvint01p
2013-12-27;17:41:40,0,03_Timer_4,200,TG 1-49,true,336,7,7,0,ecosrvint01p
2013-12-27;17:41:39,521,03_visit-page_accueil,200,TG 1-48,true,1945,7,7,521,ecosrvint01p
2013-12-27;17:41:39,601,03_visit-page_accueil,200,TG 1-47,true,1987,7,7,601,ecosrvint01p
2013-12-27;17:41:40,697,03_visit-page_test-payment,200,TG 1-49,true,2429,7,7,697,ecosrvint01p
2013-12-27;17:41:41,0,02_Timer_1,200,TG 1-45,true,322,7,7,0,ecosrvint01p
2013-12-27;17:41:41,0,03_Timer_1,200,TG 1-46,true,336,7,7,0,ecosrvint01p
2013-12-27;17:41:41,451,03_visit-page_ma-premiere-page,200,TG 1-46,true,2239,7,7,451,ecosrvint01p
2013-12-27;17:41:42,0,01_Timer_1,200,TG 1-44,true,338,7,7,0,ecosrvint01p
2013-12-27;17:41:42,291,01_visit-page_accueil,200,TG 1-44,true,1992,7,7,291,ecosrvint01p
2013-12-27;17:41:39,292,01_Accueil,200,TG 1-44,true,2330,7,7,291,ecosrvint01p
2013-12-27;17:41:43,0,03_Timer_2,200,TG 1-50,true,338,7,7,0,ecosrvint01p
2013-12-27;17:41:41,2935,02_send-form_login,200,TG 1-45,true,2332,8,8,2342,ecosrvint01p
2013-12-27;17:41:44,0,03_Timer_4,200,TG 1-47,true,338,8,8,0,ecosrvint01p
2013-12-27;17:41:44,1,03_Timer_4,200,TG 1-48,true,323,8,8,0,ecosrvint01p
2013-12-27;17:41:44,0,03_Timer_2,200,TG 1-46,true,336,8,8,0,ecosrvint01p
